Designator,Mid X,Mid Y,Rotation,Layer
D1,133.3,-84.51,90.0,top
D2,152.3,-84.51,90.0,top
D3,171.3,-84.51,90.0,top
D4,133.3,-103.51,90.0,top
D5,152.3,-103.51,90.0,top
D6,171.3,-103.51,90.0,top
D7,133.3,-122.51,90.0,top
D8,153.3,-122.51,90.0,top
D9,171.3,-122.51,90.0,top
S1,123.825,-83.56,0.0,top
S2,142.875,-83.56,0.0,top
S3,161.925,-83.56,0.0,top
S4,123.825,-102.61,0.0,top
S5,142.875,-102.61,0.0,top
S6,161.925,-102.61,0.0,top
S7,123.825,-121.66,0.0,top
S8,142.875,-121.66,0.0,top
S9,161.925,-121.66,0.0,top
U2,192.3175,-83.4,0.0,top
